district,year,institute_id,institute_name,program,gender,enrolled
Bhuvaneshwar,2015,dbd7b4b4-ea44-4cc9-a5cb-bf135b619ebe,Odisha Technical Institute,Fitter,Female,282
Bhubaneswar,2023,4d7efc8e-b68f-40dc-b18b-f53a3864bf75,Barabati ITI,Data Entry,Female,--
Sambhalpur,2023,8d28eef5-c7bb-4cf8-9def-5cc2f1015bfe,Odisha ITI,Mechanic,Other,86
Puri,2019,3e84455f-a755-4468-9e74-e1224aed4cc8,Kalinga Technical Institute,Welder,Male,742
Rourkela,2024,51a0bd7c-447d-40b8-a49a-3cd986df42bd,Jagannath Technical Institute,Mechanic,Female,17
Cuttackh,2016,1ab88733-80e1-4c41-8a9a-727fb2a12a55,Kalinga ITI,Welder,Other,205
Sambalpur,2019,692c6843-e682-4710-98bd-19da0dd2c843,Utkal ITI,Mechanic,Other,192
Bhubaneswar,2019,7c781b98-9f32-4d3e-b358-206db49bc1ef,Barabati Training Institute,Welder,Male,NaN
Puri,2022,e97c0ea5-341c-4d10-9415-0ad9479fea14,Utkal Vocational College,Data Entry,Other,--
Rurkela,2019,855fecc6-f9d7-4979-9767-a6da231b0c86,Chilika Skills Center,Welder,Female,188
Sambalpur,2021,8d8f2868-bded-49cc-8e10-7ed63b046707,Jagannath Training Institute,Fitter,Female,NaN
Puri,2019,b993c041-5f54-4332-9f6c-6a8635f4ffba,Barabati ITI,Data Entry,Other,59
Purry,2018,092e9fab-2457-4251-89b6-7093d0fe42af,Jagannath ITI,Electrician,Female,--
Rurkela,2021,70b6052f-b2c6-4986-bc2f-db76fa584a4b,Konark Skills Center,Data Entry,Male,--
Bhuvaneshwar,2018,f3fac150-7429-4f81-83a2-15ffa660604f,Chilika Training Institute,Electrician,Female,2727
Sambhalpur,2017,d61968aa-7fb8-46b2-8573-3d101d3ebe5b,Barabati Technical Institute,Welder,Male,948
Bhubaneswar,2024,9696e833-4728-4df6-8532-499e08a43ec0,Chilika Training Institute,Mechanic,Male,47
Rurkela,2023,f710900b-d3c1-4e3f-8ce7-db3f625966cc,Kalinga Vocational College,Mechanic,Other,NaN
Bhubaneswar,2018,dac5609e-4772-4adf-8f49-d01a15a15a52,Cuttack ITI,Mechanic,Other,65
Bhuvaneshwar,2015,04d340e8-7ecf-4fc6-a249-a5869c186d49,Kalinga Vocational College,Welder,Female,2174
Puri,2020,71ab4711-6279-4a6e-a1f1-4c98dcdeadc8,Nilachal Skills Center,Electrician,Male,1397
Cuttack,2017,611b92ab-34aa-4abd-b975-74330b5ed148,Nilachal Vocational College,Data Entry,Other,NaN
Puri,2024,88516447-6e5b-4598-a8f0-e3e02f369832,Barabati Vocational College,Data Entry,Female,--
Bhubaneswar,2023,0803ad31-4e1e-4f3d-a910-22b80d60e364,Utkal Training Institute,Data Entry,Other,990
Sambalpur,2018,efede7bb-5909-47d6-8353-b9e48aa2f756,Kalinga ITI,Mechanic,Male,--
Puri,2021,c125798e-9bd6-4690-a8f9-4c8806a76b07,Kalinga ITI,Welder,Female,--
Bhubaneswar,2019,d4022243-ec35-4b0c-9612-66fbe4a6bf51,Odisha Technical Institute,Welder,Male,--
Bhuvaneshwar,2023,c0d978e7-cf6c-4143-8335-5860e84e9da0,Bhubaneshwar Training Institute,Mechanic,Other,--
Cuttack,2024,07001750-c1db-480a-b76f-6fff97491088,Kalinga Skills Center,Mechanic,Other,1541
Cuttackh,2017,9f1c9fd4-d449-4964-b9cd-213b5748218a,Utkal Training Institute,Fitter,Other,NaN
Rurkela,2021,c8594dfb-6d73-4d1d-9da1-497a6f1f9af1,Barabati Skills Center,Welder,Male,253
Sambhalpur,2019,c09d557f-bc44-4fbc-adb6-8854baae905c,Kalinga ITI,Mechanic,Female,NaN
Cuttackh,2016,8da4afbe-1bf5-4332-8eb1-8cd30e9f52f7,Jagannath ITI,Fitter,Female,--
Bhuvaneshwar,2021,eeb687c3-b8a6-4bf6-b3d5-4f3e635b36bd,Kalinga Training Institute,Fitter,Male,230
Sambalpur,2023,fdab0afa-dbc7-445d-8994-41c5ad8f6932,Odisha Technical Institute,Welder,Female,--
Rourkela,2017,6c8073b7-76a8-4a27-88e6-1f32f01f333c,Barabati Skills Center,Mechanic,Female,2006
Purry,2023,c4ddfe54-917c-4f11-b81e-d083929614b5,Utkal Training Institute,Welder,Other,279
Sambhalpur,2017,f5d68c8f-299c-4d73-8295-f5c984d77929,Nilachal Technical Institute,Fitter,Female,--
Bhubaneswar,2017,fe1be3e9-bee1-4c65-b7a3-19c6619c4a06,Chilika Skills Center,Mechanic,Other,NaN
Cuttackh,2022,e85fda55-21c2-48f3-bcfc-7050ecb697a2,Bhubaneshwar Vocational College,Fitter,Male,NaN
Sambhalpur,2022,aebeca58-ccb1-4c1e-87db-f6a203e30f78,Konark Vocational College,Welder,Female,181
Rurkela,2019,ffb1c192-15e5-4e78-863e-9bb3f37296a2,Konark Training Institute,Mechanic,Other,NaN
Rurkela,2019,4bbb2e9a-8af5-4d42-8576-7c743ffb9577,Odisha Training Institute,Data Entry,Male,1324
Sambhalpur,2020,09e218a7-6504-45b5-9232-78bf56688530,Nilachal Skills Center,Mechanic,Female,268
Bhuvaneshwar,2018,44cca057-5c98-48f4-8636-8d129d94813f,Konark Vocational College,Mechanic,Other,NaN
Bhubaneswar,2018,a72d0bf4-c84d-46c0-8021-a347a8c34b25,Kalinga Vocational College,Electrician,Other,939
Sambhalpur,2024,0328a80d-9ba5-458b-8585-36b7cf6d2a9d,Utkal ITI,Fitter,Female,NaN
Sambalpur,2018,a928a5b2-9185-4abd-8e90-ae4a1fd28b9e,Kalinga ITI,Electrician,Other,931
Cuttackh,2019,d8fbd542-43b7-4bf2-9604-153c522c5c44,Cuttack Technical Institute,Fitter,Male,226
Cuttack,2024,046b96f9-7675-4903-b19d-722f2dc4d065,Jagannath Training Institute,Data Entry,Other,197
Cuttack,2020,09791408-7768-4441-8245-59a5709de505,Odisha Skills Center,Data Entry,Female,--
Sambhalpur,2018,a34321bf-7aee-47df-9bd5-5037f7444596,Odisha Technical Institute,Welder,Other,588
Cuttackh,2015,689ab92d-37c4-46a1-8e7d-e390d825b478,Cuttack Vocational College,Fitter,Male,204
Rourkela,2021,145d2f7e-f057-412b-945e-b87f0eff6a6b,Utkal Skills Center,Mechanic,Other,--
Sambhalpur,2023,8d2bb00b-9c3e-4d79-a5a4-b1b446c524a5,Chilika Skills Center,Fitter,Female,NaN
Cuttackh,2016,70c0a4f6-1065-4764-b40b-077950640ae6,Jagannath ITI,Electrician,Female,74
Purry,2019,c96782fb-c417-4ebd-820c-be742e07a11f,Utkal Technical Institute,Welder,Female,572
Puri,2024,7eb3a98f-de7a-49b4-8271-441846b1654a,Cuttack Technical Institute,Electrician,Other,NaN
Cuttackh,2023,2cabb9ad-a15d-47c4-ba38-204b2091a706,Konark Vocational College,Welder,Male,1378
Purry,2016,a7ee2f23-9e31-4cfd-9f09-87e9259b5aea,Konark Training Institute,Fitter,Male,671
Sambalpur,2022,a793eb81-1d4c-4eb7-bb90-6c080cb140ed,Jagannath Technical Institute,Data Entry,Other,--
Sambalpur,2024,81b85934-af37-4cf9-af2b-5e3109db40a9,Utkal Skills Center,Data Entry,Male,89
Bhuvaneshwar,2021,513cd464-9473-47cd-b0b8-1530dc4e557f,Bhubaneshwar Vocational College,Electrician,Female,--
Sambhalpur,2019,3a5b171c-b7a4-4108-8dac-20f90abd99fd,Cuttack ITI,Mechanic,Other,NaN
Cuttack,2018,fdf1d205-b6ec-484e-b3a2-dc1d0f916e97,Bhubaneshwar Vocational College,Fitter,Other,NaN
Puri,2024,0420521e-41e7-4bba-b9ac-1a4f42516974,Jagannath Skills Center,Fitter,Other,--
Rourkela,2015,d972c236-db84-4c06-984d-6427adaad2f9,Kalinga ITI,Data Entry,Other,--
Sambhalpur,2020,0b73a040-b7e3-4615-8a5a-5d575a742a53,Odisha Skills Center,Electrician,Other,--
Bhuvaneshwar,2024,1bf2235c-5987-41e6-bc15-17fc99bf88ed,Odisha Vocational College,Data Entry,Male,NaN
Rourkela,2021,1cf98855-719d-454f-81c6-af4013d5ac4f,Jagannath Vocational College,Mechanic,Other,1491
Bhuvaneshwar,2020,343c1752-3caa-431e-93d3-c72682d33948,Barabati Technical Institute,Welder,Female,1499
Bhuvaneshwar,2015,d44260d2-5f11-4839-9203-7fc25366e938,Utkal Vocational College,Mechanic,Male,37
Sambhalpur,2017,1246d2a5-6a7c-4d08-ae57-14e8d29c0131,Kalinga Technical Institute,Fitter,Female,--
Sambalpur,2018,4878383a-e037-4953-ad2d-7cb9a452b559,Jagannath Technical Institute,Welder,Other,2878
Rourkela,2015,9b622c0a-5398-4922-8652-62a224a0db6e,Kalinga Technical Institute,Electrician,Female,217
Rurkela,2018,f9a013be-55c1-40d9-9c3b-c3e5c9c52567,Jagannath ITI,Fitter,Male,NaN
Cuttackh,2015,5fed5cb7-a6e8-4b4f-a5bb-7f3b687bb3ce,Chilika Skills Center,Electrician,Female,1034
Cuttackh,2018,4b47b715-f937-4fff-b146-56f1787ed06b,Jagannath Technical Institute,Mechanic,Male,NaN
Sambalpur,2016,5e4908c8-290a-42d2-87f9-ee879f35e95d,Utkal Technical Institute,Mechanic,Male,--
Bhuvaneshwar,2022,266a8b90-ee28-42f4-8a76-a0ea0b6b9944,Odisha Technical Institute,Welder,Male,195
Rurkela,2015,1b3206f0-0689-4b1c-975a-ae69e9707c9e,Utkal ITI,Mechanic,Female,NaN
Cuttackh,2018,5027b309-cedb-4488-b623-87b49be9ec86,Barabati Training Institute,Welder,Male,NaN
Bhuvaneshwar,2017,bdf68eb0-c7e7-4797-b73c-91ca82c3892b,Odisha Technical Institute,Fitter,Other,NaN
Purry,2021,b67cb2ac-94dc-4c97-8891-4d9982183bb9,Nilachal Technical Institute,Electrician,Female,1837
Bhubaneswar,2017,60fba34c-3701-42fd-b09f-e5ab5813d72f,Odisha Training Institute,Fitter,Male,2325
Sambhalpur,2019,a8350a40-0858-414d-952a-ed00d4aa826d,Kalinga ITI,Data Entry,Male,198
Sambhalpur,2020,c33a8761-618f-478a-a66b-4b6db9ec28ff,Jagannath Skills Center,Fitter,Other,--
Puri,2021,f486a251-1414-4827-a632-c350ff712ff4,Kalinga ITI,Data Entry,Female,277
Cuttackh,2023,fe08a540-ef7e-4940-b568-757413caaeb6,Jagannath Technical Institute,Mechanic,Male,172
Cuttack,2019,ff70abaa-80e5-4b3d-90be-35ee397e241d,Bhubaneshwar ITI,Electrician,Male,--
Bhuvaneshwar,2019,bbe43aa7-8c58-4ff0-a15c-f032930e7347,Konark Vocational College,Fitter,Male,114
Sambhalpur,2019,1f09bd6b-bba8-4166-89f9-c43e6b074c79,Kalinga Training Institute,Electrician,Other,--
Rourkela,2020,cc5732f2-871b-4b1f-a0e4-0a11d8fbfda5,Utkal Training Institute,Welder,Female,--
Bhubaneswar,2016,a8c12f22-78ea-404d-9b6b-09920d2a9d7a,Kalinga Vocational College,Mechanic,Male,618
Cuttack,2018,5122f001-70e6-4474-8534-bd7686423a80,Utkal Technical Institute,Electrician,Other,NaN
Purry,2018,93432c76-d604-4e9f-b1ed-10f544e928ac,Kalinga Training Institute,Electrician,Female,NaN
Bhuvaneshwar,2022,5424aae4-3e78-4f27-a93b-da3b4b0653e2,Chilika Vocational College,Welder,Female,142
Cuttack,2024,fa3bc921-c484-4743-8c8b-a7603e3a0dfc,Kalinga ITI,Welder,Male,734
Purry,2017,5097ce46-74b0-4243-bb1b-a7235ca9bc53,Odisha Technical Institute,Electrician,Female,--
Puri,2019,b16d3da7-1d8b-469b-b8ef-0017bf89444e,Kalinga Technical Institute,Welder,Female,1694
Cuttackh,2017,f525d556-bb98-4bdf-b1ec-02ad3db538c9,Odisha Training Institute,Fitter,Male,755
Rourkela,2017,14669189-5ca4-4e71-a8f0-e5f2e1568ad3,Kalinga Technical Institute,Mechanic,Other,143
Sambalpur,2023,1391d18a-8171-4955-8f7a-1e435a1ba9db,Chilika ITI,Electrician,Other,NaN
Rourkela,2021,7bf18cf4-a740-4142-9cbf-7ee6ea258d83,Konark ITI,Fitter,Male,1674
Rourkela,2020,c94b3a6f-72ef-417e-baf8-34f29aef9aec,Jagannath Skills Center,Electrician,Female,--
Bhubaneswar,2021,d3ec1562-91c0-49ee-bad1-c48f6b39c4dc,Utkal ITI,Welder,Male,1373
Cuttack,2018,ecfbc936-2012-4ebb-bc9b-519ad3a81c4f,Odisha Vocational College,Fitter,Other,548
Purry,2024,e8c5a3b0-c6c5-4054-beb4-a52789a1321d,Utkal Vocational College,Data Entry,Female,2354
Bhubaneswar,2016,aa7898aa-95b2-468b-ac92-275a68599dc4,Cuttack Training Institute,Fitter,Male,--
Rourkela,2019,cbbd3732-42a1-4429-9b05-0a6c235d2722,Nilachal ITI,Mechanic,Male,NaN
Bhuvaneshwar,2024,1e32e3e1-5058-4a4a-9771-3fff49714ec3,Nilachal Skills Center,Mechanic,Other,254
Cuttackh,2023,81496136-6bc8-42f4-a893-a38a14dd9314,Barabati Skills Center,Welder,Male,--
Bhubaneswar,2019,7e83e815-9375-4195-a5fd-72f4fbb61ff7,Utkal Training Institute,Fitter,Female,19
Purry,2020,32b6f533-c5cc-4fb0-a1a6-2208a1f40627,Chilika Vocational College,Data Entry,Other,239
Rurkela,2020,743de03a-e05c-4fb9-ae0e-f4aae65e0ac3,Bhubaneshwar Training Institute,Electrician,Female,--
Sambhalpur,2024,6b2b0c27-1eec-4480-aab1-803803f89c7b,Bhubaneshwar Training Institute,Electrician,Other,NaN
Cuttackh,2021,b61d1f43-8df8-4ff9-83f8-6f2d436c9e18,Cuttack Technical Institute,Mechanic,Male,98
Cuttackh,2016,19dad534-be2b-4dee-b848-c332ee1caec8,Kalinga Training Institute,Welder,Female,NaN
Sambhalpur,2023,d577c131-08b9-4ed4-9e94-da10205b9db8,Chilika Technical Institute,Data Entry,Other,NaN
Cuttack,2016,2abc4b2f-b0a6-4457-8620-5f4a6e718848,Bhubaneshwar Technical Institute,Mechanic,Other,NaN
Purry,2017,83d04bac-21e3-4238-92b1-178bfd6c47e3,Bhubaneshwar Skills Center,Fitter,Male,1848
Sambhalpur,2022,635b729c-eb2a-408b-8780-d6caddebd8d4,Bhubaneshwar ITI,Electrician,Other,--
Cuttackh,2016,20a0c244-5ab7-48b2-ac1f-b2fce77d9bec,Konark Skills Center,Mechanic,Other,69
Sambalpur,2019,3dcead91-8e93-4bd2-b269-eb4366fe47b3,Bhubaneshwar Vocational College,Mechanic,Male,--
Sambhalpur,2018,5639117a-1e78-4a02-8b1b-bb3ab6448d24,Nilachal ITI,Fitter,Male,168
Rurkela,2019,562e121f-e5fa-455d-9320-8f77e5bdbb3e,Bhubaneshwar Technical Institute,Mechanic,Other,--
Cuttack,2020,1b96ee81-9ddb-4fea-9bd7-871c976b1a33,Cuttack Vocational College,Electrician,Other,--
Bhubaneswar,2020,12e1725b-0b94-42ab-b8e0-c2e1fe7f9299,Chilika Skills Center,Welder,Male,--
Bhuvaneshwar,2023,f32de530-5ade-40d4-abb4-8c9ebd1e9dd8,Nilachal Vocational College,Data Entry,Other,--
Puri,2022,a17e34b0-68ac-439c-a921-f23172eace11,Jagannath Vocational College,Data Entry,Female,NaN
Purry,2016,6f8963b3-d5b5-424c-bd9e-599373230f23,Konark Technical Institute,Fitter,Other,NaN
Bhuvaneshwar,2016,b33aa6b9-7a23-4f3c-81f6-028b4a0efbe5,Kalinga Technical Institute,Fitter,Other,116
Bhubaneswar,2022,b944e469-2ef6-4152-bbc2-ede622758233,Barabati Skills Center,Welder,Other,--
Cuttackh,2024,d1f2789b-ea95-4113-96ed-4815c415ac73,Odisha Training Institute,Welder,Other,NaN
Puri,2017,26fa466b-1573-4a73-8266-557cefc66c4c,Bhubaneshwar Skills Center,Fitter,Male,NaN
Purry,2020,97d20300-97f3-4baf-81fe-1d86e545fcc6,Nilachal Technical Institute,Data Entry,Female,116
Sambalpur,2022,741a5b09-a63f-43ea-ac85-2cc75eb00e6f,Utkal Training Institute,Welder,Other,NaN
Sambhalpur,2024,2d3dab8a-7047-4d9d-9208-26b8611eb15c,Bhubaneshwar Technical Institute,Fitter,Male,NaN
Puri,2021,47802d60-968c-47f1-b8f7-ef4882380358,Utkal Training Institute,Electrician,Other,117
Bhuvaneshwar,2016,3b759faa-18ce-48d1-85e3-be15f1dc5270,Chilika Skills Center,Electrician,Female,--
Rurkela,2023,0c5c9940-5753-4534-be48-7b1c4c1f088f,Cuttack Skills Center,Data Entry,Male,--
Sambhalpur,2018,8673173a-e5b5-4f30-8486-8583906ae95d,Cuttack Technical Institute,Electrician,Male,116
Rourkela,2024,ed944378-d814-4be0-821b-390c946f9f07,Odisha Vocational College,Fitter,Female,--
Bhubaneswar,2022,62524390-52a3-469d-8906-9da96d3b867c,Nilachal Technical Institute,Electrician,Female,--
Purry,2023,f41978cd-2dac-488b-81de-6d58518e58fd,Bhubaneshwar Skills Center,Welder,Other,61
Purry,2017,f1eef895-d061-46b3-8abc-36fc24a887a1,Chilika Skills Center,Data Entry,Female,--
Sambhalpur,2022,bb21d347-fd3c-402a-a1e3-eda6bc106ec9,Chilika Training Institute,Fitter,Female,--
Sambalpur,2022,473bccd4-84e6-478f-ae37-b72135ef2b60,Kalinga ITI,Mechanic,Female,NaN
Sambalpur,2015,507a61a9-9d8f-4ee1-a12c-6678933c3b76,Nilachal Technical Institute,Mechanic,Female,223
Cuttackh,2018,2a6445d3-48e8-4f79-98eb-a4621976a39a,Jagannath Technical Institute,Electrician,Other,45
Cuttack,2024,7c9428af-461a-4f63-89b0-16e51e595d1f,Barabati ITI,Fitter,Male,NaN
Cuttack,2018,2b589b3f-e2a6-4e3c-b940-093a705cd91e,Odisha Technical Institute,Fitter,Female,816
Bhubaneswar,2018,4269f091-eaed-4ed7-b06f-bb0f49d9bf73,Nilachal Training Institute,Fitter,Male,NaN
Bhubaneswar,2015,1b2aa4e4-c0e3-44e7-9b2d-f807fd225cba,Odisha ITI,Data Entry,Male,NaN
Cuttack,2021,47543604-aa9b-44ba-bb4f-068eecad122d,Bhubaneshwar ITI,Mechanic,Other,--
Cuttackh,2023,8d5a9549-34f3-4b8e-9891-e25c2418c7fd,Odisha Vocational College,Fitter,Male,194
Cuttackh,2020,2b39e995-c13e-40d3-823a-0b12d6baf0f2,Bhubaneshwar Training Institute,Data Entry,Male,1396
Sambhalpur,2024,0a2cbb1b-e70c-4274-9930-300a07006af3,Kalinga Skills Center,Electrician,Female,--
Sambhalpur,2023,89b4db80-8a32-484a-a401-461af5b92b3c,Chilika Technical Institute,Fitter,Female,174
Rurkela,2024,7d058c07-01b4-4dfc-b1f4-36eacc8abd69,Konark Training Institute,Welder,Female,--
Sambhalpur,2023,5e9a35cf-0699-476d-9288-b06ad51f03b1,Kalinga Vocational College,Welder,Female,--
Rourkela,2015,f2a83faa-f11a-41f5-8826-80f934010b60,Barabati Technical Institute,Welder,Other,2219
Rourkela,2015,71e007b0-bb6a-4647-ad2f-458d9237e145,Chilika Skills Center,Electrician,Male,--
Rurkela,2024,742f790e-d4be-44e4-a04d-3f5585594d77,Jagannath Technical Institute,Electrician,Male,124
Rourkela,2015,b75c3825-1c0f-487f-ab01-bba74b814a84,Barabati Training Institute,Electrician,Female,255
Rourkela,2019,1eb46d3b-d841-46ac-ab4f-9efbb4d1880b,Konark ITI,Welder,Other,141
Bhubaneswar,2015,7e45fee4-6ea8-4b32-a38d-9fb071c487bc,Odisha Technical Institute,Electrician,Female,--
Rourkela,2024,230681aa-dd50-4d6b-963c-b5294357ac51,Nilachal Vocational College,Data Entry,Male,2693
Bhuvaneshwar,2017,ab30f1b1-bb4c-4947-8748-b576fe3a4f96,Barabati Vocational College,Electrician,Female,NaN
Rourkela,2021,cdbb6c1f-5a8d-485e-b7eb-a7e91dd07ec8,Konark Skills Center,Welder,Female,226
Sambalpur,2023,38f1f1ab-cb17-4945-be88-f8e4143dbd6c,Utkal Vocational College,Data Entry,Female,50
Puri,2016,281f45ff-53bd-4b05-9308-9f8bba345e82,Konark ITI,Fitter,Other,200
Bhuvaneshwar,2024,7416386b-46af-440d-95d8-a81a81ceb20e,Barabati Training Institute,Electrician,Female,--
Bhubaneswar,2022,ac0d8818-8349-4078-bc4b-2732a170920c,Kalinga Vocational College,Welder,Male,1624
Sambhalpur,2021,b01cad4e-b4f1-4ca9-92f7-76d1c6ec757f,Jagannath Technical Institute,Electrician,Other,NaN
Cuttack,2024,09d1c11f-ecbb-4aac-a46b-f89a5097621a,Nilachal Vocational College,Mechanic,Male,--
Cuttackh,2016,b481acde-eeaf-4b56-99b6-5b6b6ef1d60c,Konark Training Institute,Welder,Female,2055
Rourkela,2020,30bdf7be-5149-4675-8573-b517cb508544,Cuttack Training Institute,Fitter,Female,NaN
Puri,2023,d66f3fff-a93f-47ec-8ee4-3f7fd7680657,Kalinga Technical Institute,Fitter,Female,--
Sambhalpur,2024,f2fda085-091f-43f3-a046-d4d3e0a8a8af,Bhubaneshwar Training Institute,Mechanic,Other,176
Rourkela,2019,3ef433df-020a-4c40-a095-c0d0a26e67da,Cuttack Training Institute,Welder,Male,--
Cuttackh,2020,df42eabd-604f-4c8d-961a-9968230a37e5,Cuttack ITI,Mechanic,Male,1684
Purry,2015,3217f93c-ac60-42a4-b85f-a73df17316d5,Nilachal Skills Center,Mechanic,Female,--
Rurkela,2022,7c08a960-26c4-41fd-b859-7bc643e9c94c,Jagannath Vocational College,Data Entry,Male,--
Puri,2020,7f297630-bbca-4210-afe6-1a89d059b594,Kalinga Training Institute,Electrician,Other,1002
Puri,2023,a2807710-32d5-4d87-a1bd-1db7485873c1,Chilika Vocational College,Welder,Female,2374
Cuttackh,2021,842ca512-f369-4683-96b5-cf7ae0389eb7,Utkal Training Institute,Electrician,Other,NaN
Bhuvaneshwar,2017,36d5187b-bfdb-410b-b929-1d34db6ea0ba,Konark ITI,Fitter,Female,963
Cuttackh,2024,7d9def75-1138-48db-af2f-841100d190bd,Nilachal Technical Institute,Data Entry,Female,--
Rurkela,2016,b5c1f027-3563-459e-9c78-bade8ec7dccb,Utkal ITI,Mechanic,Other,2921
Sambhalpur,2015,b01f90e7-6b0c-4da5-89ef-a19b2d98f251,Odisha ITI,Mechanic,Female,--
Bhubaneswar,2020,a18af1fd-615a-4341-9d06-5ae84358ce3f,Nilachal Vocational College,Electrician,Male,196
Bhuvaneshwar,2020,5944a69c-a341-441c-bc16-5571957a66e5,Odisha ITI,Data Entry,Female,--
Sambhalpur,2020,f44f5031-a82d-4879-87cc-4d1c7bf6b2ad,Bhubaneshwar ITI,Mechanic,Other,--
Rourkela,2023,d73794d5-4cd3-4406-a0bd-60442e18b22b,Odisha ITI,Welder,Other,2439
Cuttackh,2018,ab00764e-4ac8-4bda-a002-8f9a3b5d5c9c,Jagannath ITI,Welder,Male,11
Rurkela,2020,a1497b65-cbf7-4eb1-bd7f-2fed7c2ce385,Jagannath Technical Institute,Mechanic,Male,NaN
Purry,2017,8b1d2284-5b6c-4b7a-990c-2e2a6467e0c0,Nilachal Vocational College,Data Entry,Female,2778
Bhubaneswar,2023,380bd4cb-18b6-46f8-8ba0-768a7b2021f7,Chilika ITI,Fitter,Other,228
Sambalpur,2021,e595e3fa-e182-48d2-b681-db3f1cc41c62,Konark Training Institute,Data Entry,Male,2403
Rourkela,2019,6b6a838e-498a-4d9d-8391-59b8c145217f,Cuttack Skills Center,Data Entry,Female,110
Bhubaneswar,2022,3f555c7d-534d-488e-b279-ec9ef8281e0b,Chilika Vocational College,Electrician,Female,1417
Sambhalpur,2022,2d1b143e-1da6-436d-acc3-f8aaa9943d14,Cuttack ITI,Fitter,Female,934
Rourkela,2024,a91decb2-51a3-421b-b4d1-183f76f8ef17,Kalinga Training Institute,Electrician,Female,--
Bhubaneswar,2022,65e92e49-b26c-4876-98fa-e8c71d10b6f6,Bhubaneshwar ITI,Data Entry,Male,186
Cuttackh,2024,e1d5fcea-c610-424b-a0c8-667fb46f0145,Kalinga ITI,Mechanic,Other,253
Sambhalpur,2024,dd2fb568-ce02-4728-9712-288a7bd64d37,Cuttack Skills Center,Fitter,Male,254
Purry,2016,afedc6c3-6979-45ea-99de-fd207d3a8826,Jagannath Skills Center,Welder,Other,NaN
Sambhalpur,2019,4496a883-4a7a-477b-876a-16e73c1fc9aa,Jagannath Skills Center,Mechanic,Other,--
Cuttack,2023,d9da5f47-e3ca-40c4-b711-32b781eab1da,Utkal Technical Institute,Mechanic,Other,190
Puri,2024,8ff01845-0f90-4d63-a8b4-9b00c86768b2,Odisha Vocational College,Welder,Male,136
Purry,2017,accc1507-42f8-4fc5-92bc-b64dc59498c5,Cuttack Vocational College,Data Entry,Male,--
Rurkela,2020,cf1ca021-6431-4fc2-a946-4f3f514f6fd9,Kalinga Technical Institute,Fitter,Male,106
Bhuvaneshwar,2024,42bd31c4-660f-4c40-acd9-dc3f7123bc96,Konark Vocational College,Mechanic,Other,NaN
Rurkela,2019,7c4a14cf-44b0-403f-8dfc-73c1e990ff49,Jagannath Training Institute,Fitter,Other,--
Puri,2023,a2e25753-56ff-4b3e-b80c-fd3dba6a741c,Cuttack ITI,Mechanic,Male,NaN
Rourkela,2023,72984bb6-4efa-4dc3-8bae-4fc1d18ad3ca,Barabati Technical Institute,Fitter,Male,2337
Puri,2016,e028c315-928f-4bae-b8a7-c67868e968cf,Nilachal Training Institute,Fitter,Male,--
Bhubaneswar,2020,c790b84c-34c9-43ae-8938-279c2aa20c1e,Barabati Skills Center,Fitter,Female,NaN
Rourkela,2019,f7df9baf-f2a8-4e6e-9c3d-a4eba012c6c2,Cuttack Skills Center,Mechanic,Male,2787
Sambhalpur,2024,21144198-5466-4ea9-9c5a-342e9d017d3c,Jagannath Training Institute,Data Entry,Other,147
Puri,2023,f34574ae-0519-48bf-8a2e-30d69adebcc2,Konark Vocational College,Fitter,Other,--
Sambhalpur,2023,61127927-cd6a-4e30-8567-f81fb8e3fb43,Konark Training Institute,Electrician,Male,573
Cuttackh,2017,55525e11-b469-4821-87ca-7ddc171acd35,Chilika Vocational College,Data Entry,Female,--
Cuttack,2020,c4196c8a-c44f-42a8-9a4a-96aee987cfb2,Nilachal Skills Center,Electrician,Other,NaN
Bhubaneswar,2019,0c995e2d-a7a9-48ab-903f-3a468d8a7957,Utkal ITI,Electrician,Other,14
Rurkela,2016,8914bc96-5cb2-4033-b5e0-edd684c62e4b,Bhubaneshwar Training Institute,Welder,Male,137
Puri,2021,d690efa9-2830-4ffa-bc37-337a32ccf39d,Barabati Vocational College,Data Entry,Male,NaN
Bhuvaneshwar,2020,b7c315a2-dc16-4bae-a541-35f889238eb6,Utkal Technical Institute,Data Entry,Male,199
Cuttack,2015,2951c8a7-cd21-4a34-8a49-ba1b3ab5a9f1,Kalinga ITI,Data Entry,Female,2120
Sambalpur,2016,69d445f3-54dd-428c-9fb6-98a5e9209b3a,Jagannath Vocational College,Electrician,Other,768
Rourkela,2024,3fab0c74-bbbb-4ccc-8d8e-352b37328d15,Jagannath Technical Institute,Mechanic,Female,613
Sambalpur,2015,d8718196-093c-4582-837d-f82ef0a4be8a,Bhubaneshwar Technical Institute,Mechanic,Male,NaN
Rurkela,2022,86cc556b-f0bb-4e32-814f-a9be05209457,Utkal Technical Institute,Electrician,Male,NaN
Cuttackh,2017,ca957c2e-65df-49cb-8062-42771a3ecc71,Kalinga Training Institute,Data Entry,Male,91
Bhubaneswar,2021,4878917a-282d-44a3-8ad3-33617c226735,Kalinga Skills Center,Data Entry,Female,1605
Cuttackh,2015,a1ad9f14-3ae1-4f9c-8634-e0e64d2ce796,Bhubaneshwar ITI,Electrician,Female,137
Rourkela,2022,08a5ad03-3f4f-4031-b025-5b9dc5bcc4cd,Kalinga Technical Institute,Data Entry,Other,--
